_id,num_muestras,deteccion_media
android,157,0.33186463261366717
apk,145,0.33388077870750843
reflection,42,0.32547455070187775
via-tor,31,0.32504169173960834
telephony,15,0.302993400435839
dex,12,0.3021894862677583
contains-elf,10,0.3033853435729993
runtime-modules,8,0.32049920925898545
obfuscated,7,0.3209600074826335
mysql-communication,5,0.30096262160778287
crypto,3,0.302367941712204
contains-pe,2,0.37806637806637805
dyn-calls,1,0.24193548387096775
xorcrypt,1,0.36065573770491804
sudo,1,0.5238095238095238
checks-gps,1,0.30158730158730157
