minute,num_samples
2021-04-15 04:24:14,1
2021-04-15 04:26:48,1
2021-04-15 03:04:46,1
2021-04-15 04:38:35,2
2021-04-15 04:53:32,1
2021-04-15 04:36:29,2
2021-04-15 04:37:19,2
2021-04-15 04:37:42,1
2021-04-15 03:30:37,1
2021-04-15 03:12:27,1
2021-04-15 04:20:02,1
2021-04-15 04:16:57,1
2021-04-15 04:36:51,1
2021-04-15 04:38:02,1
2021-04-15 04:29:20,1
2021-04-15 04:10:45,1
2021-04-15 03:27:58,1
2021-04-15 04:48:33,1
2021-04-15 04:34:13,1
2021-04-15 03:18:18,1
2021-04-15 04:38:57,1
2021-04-15 04:49:11,1
2021-04-15 04:38:47,1
2021-04-15 04:38:14,1
2021-04-15 03:13:47,1
2021-04-15 03:32:23,1
2021-04-15 04:36:06,1
2021-04-15 04:30:47,1
2021-04-15 04:38:59,1
2021-04-15 04:38:54,1
2021-04-15 04:39:12,2
2021-04-15 03:42:01,1
2021-04-15 03:30:28,1
2021-04-15 04:39:02,1
2021-04-15 04:36:50,1
2021-04-15 03:52:29,1
2021-04-15 03:33:13,1
2021-04-15 03:28:17,1
2021-04-15 03:50:28,1
2021-04-15 03:07:04,1
2021-04-15 04:40:30,1
2021-04-15 03:01:08,1
2021-04-15 04:35:36,1
2021-04-15 04:45:18,1
2021-04-15 04:41:54,1
2021-04-15 03:12:36,1
2021-04-15 04:26:41,1
2021-04-15 04:35:48,1
2021-04-15 04:39:27,1
2021-04-15 04:33:34,1
2021-04-15 04:31:31,1
2021-04-15 04:36:41,1
2021-04-15 04:41:42,1
2021-04-15 04:37:30,2
2021-04-15 04:37:27,1
2021-04-15 04:44:08,1
2021-04-15 04:19:20,1
2021-04-15 03:52:18,1
2021-04-15 04:22:30,1
2021-04-15 04:25:18,1
2021-04-15 03:56:53,1
2021-04-15 04:38:42,1
2021-04-15 03:01:31,1
2021-04-15 04:39:38,1
2021-04-15 04:03:08,1
2021-04-15 04:21:00,1
2021-04-15 04:37:29,1
2021-04-15 04:37:01,1
2021-04-15 04:38:40,1
2021-04-15 03:45:52,1
2021-04-15 03:10:17,1
2021-04-15 03:23:51,1
2021-04-15 04:20:14,1
2021-04-15 04:38:41,2
2021-04-15 04:38:17,1
2021-04-15 04:39:17,2
2021-04-15 04:38:38,1
2021-04-15 04:39:24,2
2021-04-15 04:03:20,1
2021-04-15 03:18:16,1
2021-04-15 04:00:14,1
2021-04-15 03:28:30,1
2021-04-15 03:32:51,1
2021-04-15 04:40:23,1
2021-04-15 04:39:04,1
2021-04-15 03:29:12,1
2021-04-15 03:52:27,1
2021-04-15 03:09:20,1
2021-04-15 04:37:18,1
2021-04-15 04:36:28,1
2021-04-15 04:37:45,1
2021-04-15 03:12:40,1
2021-04-15 04:24:28,1
2021-04-15 04:34:40,1
2021-04-15 04:36:07,1
2021-04-15 03:25:05,1
2021-04-15 03:02:28,1
2021-04-15 03:42:49,1
2021-04-15 04:06:43,1
2021-04-15 03:51:49,1
2021-04-15 04:37:38,1
2021-04-15 04:39:30,1
2021-04-15 03:51:46,1
2021-04-15 04:33:15,1
2021-04-15 03:19:03,1
2021-04-15 04:02:44,1
2021-04-15 04:39:40,1
2021-04-15 03:50:26,1
2021-04-15 04:37:32,1
2021-04-15 04:02:50,1
2021-04-15 03:06:53,1
2021-04-15 04:15:20,1
2021-04-15 04:35:50,1
2021-04-15 04:37:22,1
2021-04-15 04:39:28,1
2021-04-15 03:50:13,1
2021-04-15 04:45:20,1
2021-04-15 03:28:12,1
2021-04-15 04:38:15,1
2021-04-15 02:49:35,1
2021-04-15 04:05:09,1
2021-04-15 03:06:21,1
2021-04-15 03:52:44,1
2021-04-15 04:38:16,5
2021-04-15 04:39:10,1
2021-04-15 04:01:36,1
2021-04-15 03:12:46,1
2021-04-15 04:19:54,1
2021-04-15 04:39:25,1
2021-04-15 04:40:31,1
2021-04-15 03:40:11,1
2021-04-15 04:29:56,1
2021-04-15 04:48:12,1
2021-04-15 02:56:55,1
2021-04-15 03:02:08,1
2021-04-15 04:47:23,1
2021-04-15 04:48:08,1
2021-04-15 04:37:14,1
2021-04-15 04:36:08,1
2021-04-15 04:37:09,1
2021-04-15 04:37:44,1
2021-04-15 04:02:53,1
2021-04-15 04:45:00,1
2021-04-15 04:44:35,1
2021-04-15 04:37:16,1
